2020-04-21 16:04:26.305877: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 16:04:53.043593: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 16:04:57.351275: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/despedirse'
2020-04-21 16:05:01.578429: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ayuda'
2020-04-21 16:05:11.414870: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/help'
2020-04-21 16:05:21.458825: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ping'
2020-04-21 16:05:40.166457: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 16:05:56.547220: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/programas'
2020-04-21 16:06:11.674196: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-21 16:06:20.948112: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 16:06:31.668415: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/MWscan'
2020-04-21 16:07:26.272760: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 16:08:21.948824: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/MWscan'
2020-04-21 16:08:52.012605: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
